Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Technologies,Order
Mobile,mobile,6a05d2d3f9ddf75bfb3934e1,66ad2be6a1fc504a2d6a22b0,6a05d2fa905eff823082d7c8,false,false,Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Swift, SwiftUI (iOS), Kotlin, Jetpack Compose (Android), React Native, Flutter (cross-platform)",1
Frontend Web,frontend-web,6a05d2d3f9ddf75bfb3934e1,66ad2be6a1fc504a2d6a22b0,6a05d2fa905eff823082d7ca,false,false,Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"React, Next.js, Vue.js, TypeScript",2
Backend,backend,6a05d2d3f9ddf75bfb3934e1,66ad2be6a1fc504a2d6a22b0,6a05d2fa905eff823082d7cc,false,false,Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Node.js, Python, Go, Laravel",3
Cloud & Infrastructure,cloud-infrastructure,6a05d2d3f9ddf75bfb3934e1,66ad2be6a1fc504a2d6a22b0,6a05d2fa905eff823082d7ce,false,false,Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"AWS, Google Cloud Platform, Firebase, Azure",4
DevOps,devops,6a05d2d3f9ddf75bfb3934e1,66ad2be6a1fc504a2d6a22b0,6a05d2fa905eff823082d7d0,false,false,Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Docker, Kubernetes, CI/CD pipelines, GitHub Actions",5
Databases,databases,6a05d2d3f9ddf75bfb3934e1,66ad2be6a1fc504a2d6a22b0,6a05d2fa905eff823082d7d2,false,false,Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"PostgreSQL, MongoDB, Redis, DynamoDB",6
Integrations,integrations,6a05d2d3f9ddf75bfb3934e1,66ad2be6a1fc504a2d6a22b0,6a05d2fa905eff823082d7d4,false,false,Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 13:49:46 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Stripe, Twilio, SendGrid, Salesforce, custom API integration",7
